                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.79407,                0.50094,                0.88569,                 0.8402,                 0.9423,                0.93964,                0.76486,                0.84042,                0.52882,                 0.8877,              0.0006238,              0.0006238,              0.0006238
                     79,                0.78988,                0.48872,                0.88403,                0.85977,                0.92675,                0.93629,                0.75166,                0.84804,                0.55172,                0.90105,             0.00061885,             0.00061885,             0.00061885
                     80,                0.78057,                0.49536,                0.88226,                0.84706,                0.92429,                0.93061,                0.76779,                0.82438,                0.53938,                0.88807,              0.0006139,              0.0006139,              0.0006139
                     81,                0.78789,                0.49217,                0.88232,                0.85306,                0.94317,                0.92741,                0.74046,                0.84484,                0.52912,                0.89355,             0.00060895,             0.00060895,             0.00060895
                     82,                0.77355,                0.48586,                 0.8849,                0.87762,                0.94235,                0.93868,                0.76582,                0.84316,                0.52925,                0.90094,               0.000604,               0.000604,               0.000604
                     83,                 0.7722,                0.48004,                0.87835,                0.88191,                0.91648,                 0.9479,                0.76736,                0.84088,                0.52557,                0.88895,             0.00059905,             0.00059905,             0.00059905
                     84,                0.77684,                0.48386,                0.88302,                0.90505,                0.89438,                0.93296,                0.76147,                0.82996,                0.52213,                 0.8917,              0.0005941,              0.0005941,              0.0005941
                     85,                0.76991,                0.47732,                0.87443,                0.90253,                0.89927,                0.95233,                0.78611,                0.83867,                0.51434,                0.88868,             0.00058915,             0.00058915,             0.00058915
                     86,                0.76548,                0.48435,                0.87844,                0.90987,                0.91755,                0.96128,                0.79077,                0.82922,                0.51075,                0.89016,              0.0005842,              0.0005842,              0.0005842
                     87,                0.77829,                0.48513,                0.88204,                0.88932,                0.90326,                0.94218,                0.77204,                0.82878,                0.53453,                0.89597,             0.00057925,             0.00057925,             0.00057925
                     88,                0.77364,                 0.4777,                0.87843,                0.91183,                0.92152,                0.95066,                0.77899,                0.81422,                0.50508,                0.89243,              0.0005743,              0.0005743,              0.0005743
                     89,                0.75754,                0.46992,                0.87554,                0.84869,                  0.929,                0.95139,                0.79817,                0.81746,                0.51865,                0.89352,             0.00056935,             0.00056935,             0.00056935
                     90,                0.76923,                0.47534,                0.87813,                0.87595,                0.93752,                0.96048,                0.78742,                 0.8119,                0.51034,                0.88965,              0.0005644,              0.0005644,              0.0005644
                     91,                0.74949,                0.46206,                0.87397,                0.87537,                0.92874,                0.94939,                0.78717,                0.83006,                0.52437,                0.89917,             0.00055945,             0.00055945,             0.00055945
                     92,                0.75738,                 0.4717,                0.87807,                0.86295,                0.92395,                0.93171,                0.76724,                0.84287,                 0.5364,                0.89582,              0.0005545,              0.0005545,              0.0005545
                     93,                0.76265,                 0.4735,                0.87688,                0.88619,                0.91287,                0.93744,                0.76844,                0.82954,                0.53528,                0.89338,             0.00054955,             0.00054955,             0.00054955
                     94,                0.75526,                0.45608,                0.87598,                0.88339,                0.93587,                0.92849,                0.76336,                0.84095,                0.50815,                0.89641,              0.0005446,              0.0005446,              0.0005446
                     95,                   0.75,                0.46738,                0.87439,                 0.9004,                0.92174,                 0.9345,                0.76782,                0.81812,                0.53275,                0.88643,             0.00053965,             0.00053965,             0.00053965
                     96,                0.74291,                0.45989,                0.86928,                0.89424,                0.92935,                0.94752,                0.78485,                0.82089,                0.50371,                0.88762,              0.0005347,              0.0005347,              0.0005347
                     97,                0.74301,                 0.4571,                0.86861,                0.85946,                0.95455,                0.94316,                 0.7698,                 0.8313,                0.50738,                0.89188,             0.00052975,             0.00052975,             0.00052975
                     98,                0.73676,                0.45343,                0.86653,                0.88121,                0.94341,                0.94894,                0.79195,                0.82637,                0.52298,                0.88673,              0.0005248,              0.0005248,              0.0005248
                     99,                0.74128,                0.45561,                 0.8701,                0.90787,                0.92906,                0.95849,                0.79082,                0.82242,                0.49326,                0.89099,             0.00051985,             0.00051985,             0.00051985
                    100,                0.73483,                0.44899,                0.87244,                0.90287,                0.92887,                0.95191,                0.79544,                0.80956,                0.51394,                0.88572,              0.0005149,              0.0005149,              0.0005149
                    101,                 0.7373,                0.45715,                0.86801,                 0.9365,                0.90109,                0.95148,                0.78522,                0.81308,                0.49164,                 0.8917,             0.00050995,             0.00050995,             0.00050995
                    102,                0.73621,                0.44647,                0.86973,                0.91416,                0.91569,                0.94565,                0.78272,                0.82702,                0.48636,                0.89711,               0.000505,               0.000505,               0.000505
                    103,                 0.7312,                0.44274,                0.86919,                0.92211,                0.92655,                0.95772,                0.79516,                0.82584,                0.49248,                0.89216,             0.00050005,             0.00050005,             0.00050005
                    104,                0.72641,                0.44074,                 0.8633,                 0.9165,                0.92958,                0.96058,                0.79553,                0.81773,                0.49708,                0.89189,              0.0004951,              0.0004951,              0.0004951
                    105,                0.72142,                0.44151,                0.86826,                0.91012,                0.91486,                0.95841,                0.80164,                 0.8232,                0.50012,                0.89153,             0.00049015,             0.00049015,             0.00049015
                    106,                0.72927,                 0.4413,                 0.8648,                0.90678,                0.91299,                0.95299,                0.79403,                0.81931,                0.49345,                 0.8856,              0.0004852,              0.0004852,              0.0004852
                    107,                0.72793,                0.44452,                0.86811,                0.89032,                 0.9449,                0.94371,                0.79109,                0.83032,                0.50015,                0.89515,             0.00048025,             0.00048025,             0.00048025
                    108,                0.70574,                0.43156,                0.86467,                0.88575,                0.92347,                0.94519,                0.78686,                0.81627,                0.48833,                0.89186,              0.0004753,              0.0004753,              0.0004753
                    109,                0.71791,                0.43574,                0.86265,                0.92823,                 0.9123,                0.95872,                0.79252,                0.82272,                0.48212,                 0.8956,             0.00047035,             0.00047035,             0.00047035
                    110,                0.70974,                0.43761,                0.86426,                0.90097,                0.93179,                0.94693,                0.78268,                0.80798,                0.48517,                0.88839,              0.0004654,              0.0004654,              0.0004654
                    111,                0.71227,                0.43407,                0.86029,                0.89984,                0.93593,                0.95855,                0.78565,                0.80609,                0.48053,                0.89156,             0.00046045,             0.00046045,             0.00046045
                    112,                0.72729,                0.43977,                0.86745,                0.91659,                0.92764,                 0.9567,                0.79034,                0.80787,                0.48878,                0.89096,              0.0004555,              0.0004555,              0.0004555
                    113,                0.70821,                0.43342,                0.86268,                0.88212,                0.92858,                0.95456,                0.79031,                0.80083,                 0.4684,                 0.8903,             0.00045055,             0.00045055,             0.00045055
                    114,                0.70594,                0.43173,                0.85941,                0.90959,                0.93382,                0.95703,                0.79648,                0.80533,                0.47091,                0.88892,              0.0004456,              0.0004456,              0.0004456
                    115,                0.70444,                0.42763,                0.86295,                0.88694,                0.91895,                0.94116,                0.77871,                0.80791,                0.47829,                0.88743,             0.00044065,             0.00044065,             0.00044065
